Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 25.65      0.89     0.89     2263     0.39     1.31  CollisionDetector::checkCollisions()
 18.30      1.52     0.64 590640834     0.00     0.00  std::vector<Object*, std::allocator<Object*> >::operator[](unsigned long)
 17.58      2.13     0.61 146444975     0.00     0.00  CollisionDetector::checkCollision(glm::vec<2, float, (glm::qualifier)0> const&, glm::vec<2, float, (glm::qualifier)0> const&, glm::vec<2, float, (glm::qualifier)0> const&, glm::vec<2, float, (glm::qualifier)0> const&)
 11.96      2.55     0.41 292889950     0.00     0.00  Object::getPosition()
  8.79      2.85     0.30 292889950     0.00     0.00  Object::getSize()
  3.17      2.96     0.11 148017950     0.00     0.00  std::vector<Object*, std::allocator<Object*> >::size() const
  2.74      3.06     0.10                             std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  2.31      3.14     0.08     8852     0.01     0.01  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  1.44      3.19     0.05   788053     0.00     0.00  ObjectTransform::getTransform()
  0.86      3.22     0.03     8852     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::seed(unsigned long)
  0.58      3.24     0.02   788053     0.00     0.00  VertexArrayObject::bind() const
  0.58      3.26     0.02   783527     0.00     0.00  Object::movePosition(glm::vec<2, float, (glm::qualifier)0>)
  0.58      3.28     0.02     8852     0.00     0.00  std::random_device::random_device()
  0.29      3.29     0.01  5514796     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.29      3.30     0.01  2350898     0.00     0.00  std::__shared_ptr_access<AsteroidObject, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  0.29      3.31     0.01  2043646     0.00     0.00  bool __gnu_cxx::operator!=<std::shared_ptr<Object>*, std::vector<std::shared_ptr<Object>, std::allocator<std::shared_ptr<Object> > > >(__gnu_cxx::__normal_iterator<std::shared_ptr<Object>*, std::vector<std::shared_ptr<Object>, std::allocator<std::shared_ptr<Object> > > > const&, __gnu_cxx::__normal_iterator<std::shared_ptr<Object>*, std::vector<std::shared_ptr<Object>, std::allocator<std::shared_ptr<Object> > > > const&)
  0.29      3.32     0.01  1576110     0.00     0.00  Shader::setActive()
  0.29      3.33     0.01  1564741     0.00     0.00  glm::vec<2, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::vec<2, float, (glm::qualifier)0> const&, float)
  0.29      3.34     0.01   788053     0.00     0.00  Object::draw()
  0.29      3.35     0.01   788053     0.00     0.00  std::__shared_ptr<Object, (__gnu_cxx::_Lock_policy)2>::operator bool() const
  0.29      3.36     0.01   785871     0.00     0.00  std::__shared_ptr<Texture, (__gnu_cxx::_Lock_policy)2>::get() const
  0.29      3.37     0.01   785743     0.00     0.00  VertexArrayObject::updateBufferData(unsigned long, void const*, unsigned long)
  0.29      3.38     0.01   785743     0.00     0.00  Object::recalculateBuffer()
  0.29      3.39     0.01   782136     0.00     0.00  glm::vec<2, float, (glm::qualifier)0> glm::operator/<float, (glm::qualifier)0>(glm::vec<2, float, (glm::qualifier)0> const&, float)
  0.29      3.40     0.01   782135     0.00     0.00  Object::getCenterPosition()
  0.29      3.41     0.01   459850     0.00     0.00  std::shared_ptr<Object>::operator=(std::shared_ptr<Object>&&)
  0.29      3.42     0.01     2263     0.00     0.00  Window::update()
  0.29      3.43     0.01                             _init
  0.14      3.44     0.01  3146717     0.00     0.00  glm::vec<2, float, (glm::qualifier)0>::vec(float, float)
  0.14      3.44     0.01  2348281     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<AsteroidObject>*, std::vector<std::shared_ptr<AsteroidObject>, std::allocator<std::shared_ptr<AsteroidObject> > > >::operator*() const
  0.14      3.44     0.01   827944     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0>::operator[](int) const
  0.14      3.45     0.01   787145     0.00     0.00  bool __gnu_cxx::operator!=<std::shared_ptr<AsteroidObject>*, std::vector<std::shared_ptr<AsteroidObject>, std::allocator<std::shared_ptr<AsteroidObject> > > >(__gnu_cxx::__normal_iterator<std::shared_ptr<AsteroidObject>*, std::vector<std::shared_ptr<AsteroidObject>, std::allocator<std::shared_ptr<AsteroidObject> > > > const&, __gnu_cxx::__normal_iterator<std::shared_ptr<AsteroidObject>*, std::vector<std::shared_ptr<AsteroidObject>, std::allocator<std::shared_ptr<AsteroidObject> > > > const&)
  0.14      3.46     0.01   782135     0.00     0.00  glm::vec<2, float, (glm::qualifier)0> glm::operator+<float, (glm::qualifier)0>(glm::vec<2, float, (glm::qualifier)0> const&, glm::vec<2, float, (glm::qualifier)0> const&)
  0.14      3.46     0.01     4426     0.00     0.00  std::pair<glm::vec<2, float, (glm::qualifier)0>, glm::vec<2, float, (glm::qualifier)0> >::pair<glm::vec<2, float, (glm::qualifier)0>, glm::vec<2, float, (glm::qualifier)0>, true>(glm::vec<2, float, (glm::qualifier)0>&&, glm::vec<2, float, (glm::qualifier)0>&&)
  0.14      3.46     0.01     2216     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::mat<4, 4, float, (glm::qualifier)0> const&, glm::mat<4, 4, float, (glm::qualifier)0> const&)
  0.14      3.47     0.01        1     5.00     5.00  std::vector<std::shared_ptr<AsteroidPrototype>, std::allocator<std::shared_ptr<AsteroidPrototype> > >::push_back(std::shared_ptr<AsteroidPrototype> const&)
  0.00      3.47     0.00  5523648     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      3.47     0.00  5523648     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00      3.47     0.00  5514796     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      3.47     0.00  4103621     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<Object>*, std::vector<std::shared_ptr<Object>, std::allocator<std::shared_ptr<Object> > > >::base() const
  0.00      3.47     0.00  2408045     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<Object>*, std::vector<std::shared_ptr<Object>, std::allocator<std::shared_ptr<Object> > > >::operator*() const
  0.00      3.47     0.00  2354920     0.00     0.00  std::__shared_ptr<AsteroidObject, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      3.47     0.00  2350898     0.00     0.00  std::__shared_ptr_access<AsteroidObject, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  0.00      3.47     0.00  2188637     0.00     0.00  std::__shared_ptr<Object, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      3.47     0.00  1948195     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<Object>*, std::vector<std::shared_ptr<Object>, std::allocator<std::shared_ptr<Object> > > >::operator++()
  0.00      3.47     0.00  1849329     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_swap(std::__shared_count<(__gnu_cxx::_Lock_policy)2>&)
  0.00      3.47     0.00  1839400     0.00     0.00  std::remove_reference<Object*&>::type&& std::move<Object*&>(Object*&)
  0.00      3.47     0.00  1619992     0.00     0.00  __gnu_cxx::__normal_iterator<Object**, std::vector<Object*, std::allocator<Object*> > >::operator*() const
  0.00      3.47     0.00  1595128     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<Object>*, std::vector<std::shared_ptr<Object>, std::allocator<std::shared_ptr<Object> > > >::__normal_iterator(std::shared_ptr<Object>* const&)
  0.00      3.47     0.00  1591542     0.00     0.00  std::__shared_ptr<VertexArrayObject, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      3.47     0.00  1591542     0.00     0.00  std::__shared_ptr_access<VertexArrayObject, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  0.00      3.47     0.00  1591542     0.00     0.00  std::__shared_ptr_access<VertexArrayObject, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  0.00      3.47     0.00  1583375     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<AsteroidObject>*, std::vector<std::shared_ptr<AsteroidObject>, std::allocator<std::shared_ptr<AsteroidObject> > > >::base() const
  0.00      3.47     0.00  1576110     0.00     0.00  std::__shared_ptr<Shader, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      3.47     0.00  1576110     0.00     0.00  std::__shared_ptr_access<Shader, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  0.00      3.47     0.00  1576110     0.00     0.00  std::__shared_ptr_access<Shader, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  0.00      3.47     0.00  1379550     0.00     0.00  std::remove_reference<AsteroidObject*&>::type&& std::move<AsteroidObject*&>(AsteroidObject*&)
  0.00      3.47     0.00  1160142     0.00     0.00  __gnu_cxx::__normal_iterator<Object**, std::vector<Object*, std::allocator<Object*> > >::operator++()
  0.00      3.47     0.00   947180     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      3.47     0.00   946875     0.00     0.00  __gnu_cxx::__normal_iterator<Object**, std::vector<Object*, std::allocator<Object*> > >::base() const
  0.00      3.47     0.00   929609     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count()
  0.00      3.47     0.00   920722     0.00     0.00  std::remove_reference<std::shared_ptr<AsteroidObject>&>::type&& std::move<std::shared_ptr<AsteroidObject>&>(std::shared_ptr<AsteroidObject>&)
  0.00      3.47     0.00   920722     0.00     0.00  std::remove_reference<std::shared_ptr<Object>&>::type&& std::move<std::shared_ptr<Object>&>(std::shared_ptr<Object>&)
  0.00      3.47     0.00   898874     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0>::length()
  0.00      3.47     0.00   800282     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<AsteroidObject>*, std::vector<std::shared_ptr<AsteroidObject>, std::allocator<std::shared_ptr<AsteroidObject> > > >::__normal_iterator(std::shared_ptr<AsteroidObject>* const&)
