Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 17.14      0.06     0.06    50000     0.00     0.00  CollisionDetector::checkCollisions()
  5.71      0.08     0.02 19337915     0.00     0.00  std::vector<Object*, std::allocator<Object*> >::operator[](unsigned long)
  5.71      0.10     0.02   783053     0.00     0.00  Object::draw()
  5.71      0.12     0.02   683117     0.00     0.00  VertexArrayObject::updateBufferData(unsigned long, void const*, unsigned long)
  5.71      0.14     0.02   683117     0.00     0.00  Object::recalculateBuffer()
  4.29      0.15     0.01  1899348     0.00     0.00  std::__shared_ptr_access<AsteroidObject, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  2.86      0.17     0.01  2532807     0.00     0.00  glm::vec<2, float, (glm::qualifier)0>::vec(float, float)
  2.86      0.17     0.01  1899348     0.00     0.00  std::__shared_ptr_access<AsteroidObject, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  2.86      0.18     0.01  1666482     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<Object>*, std::vector<std::shared_ptr<Object>, std::allocator<std::shared_ptr<Object> > > >::__normal_iterator(std::shared_ptr<Object>* const&)
  2.86      0.20     0.01  1566110     0.00     0.00  Shader::setActive()
  2.86      0.20     0.01  1566110     0.00     0.00  std::__shared_ptr_access<Shader, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  2.86      0.21     0.01  1266167     0.00     0.00  glm::vec<2, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::vec<2, float, (glm::qualifier)0> const&, float)
  2.86      0.23     0.01   833151     0.00     0.00  std::vector<std::shared_ptr<Object>, std::allocator<std::shared_ptr<Object> > >::begin()
  2.86      0.23     0.01   784184     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<Object>*, std::vector<std::shared_ptr<Object>, std::allocator<std::shared_ptr<Object> > > >::operator++()
  2.86      0.24     0.01   783323     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  2.86      0.26     0.01   783053     0.00     0.00  VertexArrayObject::bind() const
  2.86      0.27     0.01   783053     0.00     0.00  std::__shared_ptr<Object, (__gnu_cxx::_Lock_policy)2>::operator bool() const
  2.86      0.28     0.01   150000     0.00     0.00  RenderLayer::draw()
  2.86      0.28     0.01   150000     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<RenderLayer>*, std::vector<std::shared_ptr<RenderLayer>, std::allocator<std::shared_ptr<RenderLayer> > > >::operator*() const
  2.86      0.29     0.01    50001     0.00     0.00  std::unique_ptr<Renderer, std::default_delete<Renderer> >::get() const
  2.86      0.30     0.01    50000     0.00     0.00  CallbackTimer::update()
  2.86      0.32     0.01    50000     0.00     0.00  Window::update()
  2.86      0.33     0.01                             _init
  2.86      0.34     0.01                             main
  1.43      0.34     0.01   783053     0.00     0.00  bool std::operator!=<Object>(std::shared_ptr<Object> const&, decltype(nullptr))
  1.43      0.34     0.01       31     0.16     0.16  std::shared_ptr<AsteroidObject>::shared_ptr(std::shared_ptr<AsteroidObject>&&)
  1.43      0.35     0.01        1     5.00     5.00  std::_Vector_base<std::shared_ptr<ProjectileObject>, std::allocator<std::shared_ptr<ProjectileObject> > >::_Vector_impl::_Vector_impl()
  0.00      0.35     0.00  4799483     0.00     0.00  CollisionDetector::checkCollision(glm::vec<2, float, (glm::qualifier)0> const&, glm::vec<2, float, (glm::qualifier)0> const&, glm::vec<2, float, (glm::qualifier)0> const&, glm::vec<2, float, (glm::qualifier)0> const&)
  0.00      0.35     0.00  3233745     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<Object>*, std::vector<std::shared_ptr<Object>, std::allocator<std::shared_ptr<Object> > > >::base() const
  0.00      0.35     0.00  1899454     0.00     0.00  std::__shared_ptr<AsteroidObject, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      0.35     0.00  1899271     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<AsteroidObject>*, std::vector<std::shared_ptr<AsteroidObject>, std::allocator<std::shared_ptr<AsteroidObject> > > >::operator*() const
  0.00      0.35     0.00  1616654     0.00     0.00  bool __gnu_cxx::operator!=<std::shared_ptr<Object>*, std::vector<std::shared_ptr<Object>, std::allocator<std::shared_ptr<Object> > > >(__gnu_cxx::__normal_iterator<std::shared_ptr<Object>*, std::vector<std::shared_ptr<Object>, std::allocator<std::shared_ptr<Object> > > > const&, __gnu_cxx::__normal_iterator<std::shared_ptr<Object>*, std::vector<std::shared_ptr<Object>, std::allocator<std::shared_ptr<Object> > > > const&)
  0.00      0.35     0.00  1566110     0.00     0.00  std::__shared_ptr<Shader, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      0.35     0.00  1566110     0.00     0.00  std::__shared_ptr_access<Shader, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  0.00      0.35     0.00  1466698     0.00     0.00  std::__shared_ptr<VertexArrayObject, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      0.35     0.00  1466698     0.00     0.00  std::__shared_ptr_access<VertexArrayObject, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  0.00      0.35     0.00  1466698     0.00     0.00  std::__shared_ptr_access<VertexArrayObject, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  0.00      0.35     0.00  1366535     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<AsteroidObject>*, std::vector<std::shared_ptr<AsteroidObject>, std::allocator<std::shared_ptr<AsteroidObject> > > >::base() const
  0.00      0.35     0.00   833241     0.00     0.00  std::vector<std::shared_ptr<Object>, std::allocator<std::shared_ptr<Object> > >::end()
  0.00      0.35     0.00   786274     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0>::length()
  0.00      0.35     0.00   784597     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<Object>*, std::vector<std::shared_ptr<Object>, std::allocator<std::shared_ptr<Object> > > >::operator*() const
  0.00      0.35     0.00   784489     0.00     0.00  std::__shared_ptr<Object, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      0.35     0.00   784208     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0>::operator[](int) const
  0.00      0.35     0.00   783325     0.00     0.00  std::char_traits<char>::length(char const*)
